AREFNO,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
0113CP00001,CITY OF LONDON,0,531630,180790,1,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00002,CITY OF LONDON,0,531910,181110,1,3 Pedestrian,1 Male,25-59,36,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0113CP00003,CITY OF LONDON,0,531780,180830,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00005,CITY OF LONDON,0,532890,180990,1,3 Pedestrian,2 Female,16-24,24,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113CP00006,CITY OF LONDON,0,533280,181590,1,3 Pedestrian,2 Female,16-24,23,1,2 Serious,09 In Road - Not Crossing,6 In Rd Not Crossing Msk,1 Pedestrian, 
0113CP00007,CITY OF LONDON,0,531410,181170,1,3 Pedestrian,2 Female,25-59,30,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0113CP00008,CITY OF LONDON,0,532780,181530,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00009,CITY OF LONDON,0,533790,181140,1,2 Passenger,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113CP00010,CITY OF LONDON,0,533360,181310,1,1 Driver/Rider,1 Male,25-59,27,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00011,CITY OF LONDON,0,531920,181350,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00012,CITY OF LONDON,0,531560,181570,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00013,CITY OF LONDON,0,532850,180850,1,1 Driver/Rider,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00014,CITY OF LONDON,0,531640,180980,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00015,CITY OF LONDON,0,531400,181560,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00016,CITY OF LONDON,0,531400,181560,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0113CP00017,CITY OF LONDON,0,531430,180820,1,1 Driver/Rider,2 Female,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00018,CITY OF LONDON,0,533330,180690,1,1 Driver/Rider,1 Male,25-59,37,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00019,CITY OF LONDON,0,533270,181570,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00020,CITY OF LONDON,0,531630,181170,1,1 Driver/Rider,1 Male,25-59,28,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00023,CITY OF LONDON,0,533050,180930,2,2 Passenger,2 Female,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00023,CITY OF LONDON,0,533050,180930,1,2 Passenger,2 Female,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00024,CITY OF LONDON,0,533310,180720,1,3 Pedestrian,1 Male,60+,67,1,2 Serious,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0113CP00025,CITY OF LONDON,0,532460,181150,1,1 Driver/Rider,1 Male,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0113CP00025,CITY OF LONDON,0,532460,181150,2,1 Driver/Rider,1 Male,60+,60,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00026,CITY OF LONDON,0,533290,181600,1,3 Pedestrian,1 Male,16-24,23,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0113CP00027,CITY OF LONDON,0,531560,181560,1,1 Driver/Rider,1 Male,25-59,35,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00028,CITY OF LONDON,0,532790,180440,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00029,CITY OF LONDON,0,532160,181230,1,2 Passenger,2 Female,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00030,CITY OF LONDON,0,533300,181620,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00032,CITY OF LONDON,0,531790,180950,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0113CP00033,CITY OF LONDON,0,532290,181370,1,3 Pedestrian,2 Female,25-59,40,1,3 Slight,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian, 
0113CP00034,CITY OF LONDON,0,533270,180730,1,1 Driver/Rider,1 Male,25-59,28,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00034,CITY OF LONDON,0,533270,180730,2,3 Pedestrian,2 Female,16-24,21,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0113CP00035,CITY OF LONDON,0,533200,181430,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00037,CITY OF LONDON,0,533200,181420,1,1 Driver/Rider,2 Female,25-59,50,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00039,CITY OF LONDON,0,533220,181140,1,3 Pedestrian,1 Male,25-59,36,1,3 Slight,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian, 
0113CP00040,CITY OF LONDON,0,532910,180830,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00041,CITY OF LONDON,0,532350,180980,1,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00041,CITY OF LONDON,0,532350,180980,2,3 Pedestrian,2 Female,25-59,49,1,2 Serious,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
